region_code,region_name_kor,region_name_eng
0000000000,전국,Nationwide
1100000000,서울,Seoul
1A0000,강북14개구,14 Districts of Gangbuk
1B0000,강남11개구,11 Districts of Gangnam
1T0000,수도권,Metropolitan Area
2A0000,6개광역시,6 Major Cities
2B0000,5개광역시,5 Major Cities
4A0000,기타지방,Other Provinces
2600000000,부산,Busan
2700000000,대구,Daegu
2800000000,인천,Incheon
2900000000,광주,Gwangju
3000000000,대전,Daejeon
3100000000,울산,Ulsan
3600000000,세종,Sejong
4100000000,경기,Gyeonggi
4300000000,충북,Chungbuk
4400000000,충남,Chungnam
4600000000,전남,Jeonnam
4700000000,경북,Gyeongbuk
4800000000,경남,Gyeongnam
5000000000,제주,Jeju
5100000000,강원,Gangwon
5200000000,전북,Jeonbuk
